127.0.0.1 - - [19/Jan/2022:11:26:02 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css//style.css HTTP/1.1" 200 879837
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/js/dashboard.js HTTP/1.1" 200 7764
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/imag/face5.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/image/face8.jpg HTTP/1.1" 200 15062
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/image/face5.jpg HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/image/face7.jpg HTTP/1.1" 200 10400
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/image/face6.jpg HTTP/1.1" 200 12222
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/image/face1.jpg HTTP/1.1" 200 12977
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/image/face9.jpg HTTP/1.1" 200 11746
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Bold.woff2 HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Bold.woff HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:26:29 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Bold.ttf HTTP/1.1" 404 1112
